epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.333,0.57548,0.54753,0.97898,0.99112,0.9981,0.995,0.96476,0.31293,0.21636,0.8026,0.000848969,0.000848969,0.000848969
43,104.725,0.585,0.53482,0.97917,0.99377,1,0.995,0.95957,0.30703,0.22438,0.80458,0.000834822,0.000834822,0.000834822
44,107.136,0.58751,0.55213,0.98482,0.9961,1,0.995,0.96058,0.29191,0.21792,0.7985,0.000820675,0.000820675,0.000820675
45,109.492,0.57014,0.51856,0.97706,0.99636,1,0.995,0.951,0.31675,0.2303,0.81008,0.000806528,0.000806528,0.000806528
46,111.884,0.55965,0.52601,0.97516,0.96863,0.99985,0.995,0.96307,0.28155,0.2307,0.79731,0.00079238,0.00079238,0.00079238
47,114.28,0.56342,0.52401,0.98186,0.99629,1,0.995,0.96881,0.29792,0.20157,0.7967,0.000778233,0.000778233,0.000778233
48,116.692,0.5556,0.52215,0.96525,0.99691,1,0.995,0.96803,0.29325,0.19614,0.79447,0.000764086,0.000764086,0.000764086
49,119.077,0.56344,0.52991,0.98084,0.98154,1,0.995,0.9631,0.297,0.22656,0.79818,0.000749939,0.000749939,0.000749939
50,121.478,0.56283,0.53418,0.98981,0.99716,1,0.995,0.95011,0.30145,0.21432,0.80355,0.000735792,0.000735792,0.000735792
51,123.865,0.5509,0.52115,0.95418,0.97955,0.97235,0.99103,0.96025,0.30393,0.26464,0.80412,0.000721645,0.000721645,0.000721645
52,126.259,0.57845,0.53428,0.98001,0.99664,1,0.995,0.96839,0.29694,0.20144,0.79906,0.000707498,0.000707498,0.000707498
53,128.67,0.54625,0.52173,0.97111,0.99613,1,0.995,0.96291,0.29728,0.21058,0.79856,0.000693351,0.000693351,0.000693351
54,131.059,0.54772,0.52584,0.95958,0.99687,1,0.995,0.95303,0.29855,0.20438,0.79726,0.000679204,0.000679204,0.000679204
55,133.418,0.54493,0.51914,0.96201,0.98956,0.96974,0.995,0.94549,0.31786,0.24799,0.80504,0.000665057,0.000665057,0.000665057
56,135.757,0.54453,0.49032,0.9655,0.99362,1,0.995,0.95888,0.30351,0.21479,0.80202,0.000650909,0.000650909,0.000650909
57,138.155,0.55482,0.53321,0.98428,0.99641,1,0.995,0.95481,0.30224,0.2029,0.80259,0.000636762,0.000636762,0.000636762
58,140.513,0.528,0.4833,0.95983,0.96351,1,0.99341,0.92794,0.35939,0.26504,0.83819,0.000622615,0.000622615,0.000622615
59,142.851,0.52689,0.45561,0.95461,0.99678,1,0.995,0.95209,0.31309,0.20338,0.80662,0.000608468,0.000608468,0.000608468
60,145.241,0.53619,0.49275,0.96338,0.99338,1,0.995,0.96202,0.28782,0.19161,0.79925,0.000594321,0.000594321,0.000594321
61,147.6,0.52446,0.47547,0.96044,0.99691,1,0.995,0.95764,0.27511,0.18322,0.79405,0.000580174,0.000580174,0.000580174
62,149.981,0.5535,0.52348,0.98863,0.99716,1,0.995,0.96301,0.28632,0.18621,0.79801,0.000566027,0.000566027,0.000566027
63,152.379,0.5086,0.48119,0.95543,0.98551,0.99767,0.995,0.96231,0.26795,0.18898,0.7926,0.00055188,0.00055188,0.00055188
64,154.724,0.53634,0.47607,0.96271,0.99687,1,0.995,0.9599,0.2846,0.17988,0.79403,0.000537733,0.000537733,0.000537733
65,157.112,0.52046,0.48037,0.96747,0.99588,1,0.995,0.96234,0.28861,0.18003,0.79286,0.000523586,0.000523586,0.000523586
66,159.49,0.52275,0.47921,0.97797,0.99723,1,0.995,0.96881,0.2898,0.18815,0.79689,0.000509438,0.000509438,0.000509438
67,161.85,0.50846,0.45746,0.95626,0.99672,1,0.995,0.97307,0.28193,0.17546,0.79481,0.000495291,0.000495291,0.000495291
68,164.266,0.54071,0.49618,0.9735,0.9959,1,0.995,0.95946,0.28763,0.19202,0.79538,0.000481144,0.000481144,0.000481144
69,166.678,0.52482,0.4972,0.96019,0.99642,1,0.995,0.95636,0.29087,0.19961,0.79763,0.000466997,0.000466997,0.000466997
70,169.071,0.51911,0.50523,0.96037,0.99497,1,0.995,0.97626,0.26537,0.17205,0.78911,0.00045285,0.00045285,0.00045285
71,171.492,0.5014,0.47064,0.94852,0.99703,1,0.995,0.96876,0.25743,0.16818,0.78998,0.000438703,0.000438703,0.000438703
72,173.888,0.5124,0.47162,0.95628,0.99647,1,0.995,0.95448,0.29105,0.18885,0.80445,0.000424556,0.000424556,0.000424556
73,176.289,0.54841,0.50368,0.96766,0.9788,1,0.995,0.95986,0.29915,0.1905,0.80073,0.000410409,0.000410409,0.000410409
74,178.688,0.50706,0.46388,0.95355,0.99329,1,0.995,0.96348,0.30941,0.1914,0.81336,0.000396262,0.000396262,0.000396262
75,181.085,0.52588,0.46879,0.96271,0.99706,1,0.995,0.96753,0.27449,0.17782,0.79204,0.000382115,0.000382115,0.000382115
76,183.482,0.49834,0.44186,0.95641,0.99634,1,0.995,0.97736,0.26077,0.16215,0.79027,0.000367967,0.000367967,0.000367967
77,185.894,0.51901,0.45921,0.96138,0.99704,1,0.995,0.97222,0.27016,0.15861,0.7911,0.00035382,0.00035382,0.00035382
78,188.273,0.52712,0.46089,0.97051,0.99685,1,0.995,0.97047,0.26771,0.16093,0.79151,0.000339673,0.000339673,0.000339673
79,190.675,0.50851,0.45077,0.95514,0.99699,1,0.995,0.97052,0.2676,0.15878,0.79402,0.000325526,0.000325526,0.000325526
80,193.037,0.50727,0.44176,0.96267,0.99701,1,0.995,0.96832,0.25907,0.16251,0.7948,0.000311379,0.000311379,0.000311379
81,195.396,0.50078,0.44407,0.95649,0.99739,1,0.995,0.97258,0.26202,0.1563,0.79153,0.000297232,0.000297232,0.000297232
82,197.805,0.50668,0.43808,0.95984,0.99644,1,0.995,0.96816,0.26425,0.15689,0.79103,0.000283085,0.000283085,0.000283085
83,200.173,0.49441,0.41782,0.94776,0.99724,1,0.995,0.97079,0.25604,0.16244,0.79029,0.000268938,0.000268938,0.000268938
84,202.437,0.48305,0.42306,0.94302,0.99678,1,0.995,0.97339,0.26066,0.15129,0.79061,0.000254791,0.000254791,0.000254791
85,204.855,0.4879,0.44809,0.95476,0.99664,1,0.995,0.9707,0.26056,0.15434,0.79089,0.000240644,0.000240644,0.000240644
86,207.212,0.48435,0.4188,0.92768,0.99579,1,0.995,0.96948,0.25639,0.15535,0.78852,0.000226497,0.000226497,0.000226497
87,209.613,0.4729,0.41132,0.93675,0.99709,1,0.995,0.97502,0.24658,0.16148,0.78689,0.000212349,0.000212349,0.000212349
88,212.029,0.46995,0.41646,0.93979,0.99677,1,0.995,0.96647,0.26631,0.17316,0.7913,0.000198202,0.000198202,0.000198202
89,214.453,0.48436,0.41525,0.94354,0.99732,1,0.995,0.97097,0.25564,0.15897,0.78846,0.000184055,0.000184055,0.000184055
90,216.883,0.49179,0.42776,0.95011,0.99733,1,0.995,0.97109,0.2512,0.15303,0.78844,0.000169908,0.000169908,0.000169908
91,219.558,0.3052,0.20251,0.84564,0.99647,1,0.995,0.97545,0.24992,0.16127,0.78853,0.000155761,0.000155761,0.000155761
92,221.976,0.2863,0.18645,0.83971,0.99692,1,0.995,0.96907,0.24609,0.15167,0.78862,0.000141614,0.000141614,0.000141614
93,224.327,0.28734,0.18173,0.82385,0.9973,1,0.995,0.96968,0.24795,0.15303,0.78901,0.000127467,0.000127467,0.000127467
94,226.68,0.28948,0.18318,0.82654,0.99739,1,0.995,0.97164,0.24864,0.15458,0.78774,0.00011332,0.00011332,0.00011332
95,229.083,0.29429,0.18486,0.84134,0.99669,1,0.995,0.97545,0.24998,0.15509,0.78741,9.91726e-05,9.91726e-05,9.91726e-05
96,231.556,0.28547,0.17642,0.8319,0.9964,1,0.995,0.97315,0.24899,0.14453,0.78752,8.50255e-05,8.50255e-05,8.50255e-05
97,233.96,0.27747,0.17512,0.84337,0.99681,1,0.995,0.97866,0.24859,0.1439,0.7871,7.08784e-05,7.08784e-05,7.08784e-05
98,236.343,0.27654,0.1719,0.82154,0.99719,1,0.995,0.97286,0.24458,0.14274,0.78634,5.67313e-05,5.67313e-05,5.67313e-05
99,238.725,0.27888,0.17115,0.83472,0.99724,1,0.995,0.97541,0.24722,0.14135,0.78662,4.25842e-05,4.25842e-05,4.25842e-05
100,241.111,0.27888,0.17118,0.82611,0.99723,1,0.995,0.97762,0.24754,0.14292,0.78663,2.84371e-05,2.84371e-05,2.84371e-05
